Area,Year,Food Inflation Rate,Raw GDP,GDP Growth Rate,Item,Item Price Per Tonne,Overall Inflation Rate
Albania,2013,4.214607333333333,12776.280738,3.705432,Cauliflowers and broccoli,1050.4,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Cherries,1618.3,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Chestnuts, in shell",1182.9,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",492.1,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Cucumbers and gherkins,690.8,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Dates,454.2,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Eggplants (aubergines),766.5,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Figs,832.8,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Grapes,776.0,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Green garlic,1192.4,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Hen eggs in shell, fresh",1971.5,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Leeks and other alliaceous vegetables,425.9,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Lemons and limes,899.0,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Lettuce and chicory,936.9,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Maize (corn),416.4,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Meat of cattle with the bone, fresh or chilled (biological)",3567.7,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Meat of chickens, fresh or chilled (biological)",3605.6,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Meat of ducks, fresh or chilled (biological)",6416.3,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Meat of geese, fresh or chilled (biological)",7504.6,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Meat of goat, fresh or chilled (biological)",2999.9,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Meat of pig with the bone, fresh or chilled (biological)",2858.0,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Meat of sheep, fresh or chilled (biological)",3075.6,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Meat of turkeys, fresh or chilled (biological)",5204.9,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Natural honey,11261.6,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Oats,463.7,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Okra,700.3,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Olives,1447.9,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Onions and shallots, dry (excluding dehydrated)",520.5,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Onions and shallots, green",766.5,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Oranges,671.9,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Other beans, green",1315.4,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",3283.8,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Peaches and nectarines,804.4,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Pears,984.2,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Plums and sloes,482.6,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Potatoes,567.8,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,"Pumpkins, squash and gourds",548.9,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Quinces,105.0,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Raw milk of cattle,444.8,3.2
Albania,2013,4.214607333333333,12776.280738,3.705432,Raw milk of goats,520.5,3.2
