Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2022","2022","7021","Annual value","USD","2328.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01243","Broad beans and horse beans, green","2013","2013","7021","Annual value","USD","1447.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01243","Broad beans and horse beans, green","2014","2014","7021","Annual value","USD","907","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2012","2012","7021","Annual value","USD","203.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2013","2013","7021","Annual value","USD","331.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2014","2014","7021","Annual value","USD","214.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2015","2015","7021","Annual value","USD","317.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2016","2016","7021","Annual value","USD","202.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2017","2017","7021","Annual value","USD","180.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2018","2018","7021","Annual value","USD","206.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2019","2019","7021","Annual value","USD","357.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2020","2020","7021","Annual value","USD","261.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2021","2021","7021","Annual value","USD","317.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2022","2022","7021","Annual value","USD","341","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2012","2012","7021","Annual value","USD","323.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2013","2013","7021","Annual value","USD","511","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2014","2014","7021","Annual value","USD","450.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2015","2015","7021","Annual value","USD","379.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2016","2016","7021","Annual value","USD","361","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2017","2017","7021","Annual value","USD","432.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2018","2018","7021","Annual value","USD","383.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2019","2019","7021","Annual value","USD","411.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2020","2020","7021","Annual value","USD","506.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2021","2021","7021","Annual value","USD","493","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2022","2022","7021","Annual value","USD","558.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2012","2012","7021","Annual value","USD","305","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2013","2013","7021","Annual value","USD","586.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2014","2014","7021","Annual value","USD","446.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2015","2015","7021","Annual value","USD","396.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2016","2016","7021","Annual value","USD","377.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2017","2017","7021","Annual value","USD","370.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2018","2018","7021","Annual value","USD","391.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2019","2019","7021","Annual value","USD","428.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2020","2020","7021","Annual value","USD","426.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2021","2021","7021","Annual value","USD","456.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2022","2022","7021","Annual value","USD","485.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2012","2012","7021","Annual value","USD","637.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2013","2013","7021","Annual value","USD","1050.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2014","2014","7021","Annual value","USD","937","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2015","2015","7021","Annual value","USD","714.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2016","2016","7021","Annual value","USD","760.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2017","2017","7021","Annual value","USD","891.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2018","2018","7021","Annual value","USD","784","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2019","2019","7021","Annual value","USD","693.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2020","2020","7021","Annual value","USD","864.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2021","2021","7021","Annual value","USD","1025.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2022","2022","7021","Annual value","USD","1105","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2012","2012","7021","Annual value","USD","952.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2013","2013","7021","Annual value","USD","1618.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2014","2014","7021","Annual value","USD","1358.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2015","2015","7021","Annual value","USD","746.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2016","2016","7021","Annual value","USD","1169.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2017","2017","7021","Annual value","USD","1346.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2018","2018","7021","Annual value","USD","641.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2019","2019","7021","Annual value","USD","1046.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2020","2020","7021","Annual value","USD","1024.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2021","2021","7021","Annual value","USD","1455.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2022","2022","7021","Annual value","USD","1017.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01373","Chestnuts, in shell","2012","2012","7021","Annual value","USD","813.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01373","Chestnuts, in shell","2013","2013","7021","Annual value","USD","1182.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01373","Chestnuts, in shell","2014","2014","7021","Annual value","USD","1615.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01373","Chestnuts, in shell","2015","2015","7021","Annual value","USD","1190.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01373","Chestnuts, in shell","2016","2016","7021","Annual value","USD","1256.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01373","Chestnuts, in shell","2017","2017","7021","Annual value","USD","1640.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01373","Chestnuts, in shell","2018","2018","7021","Annual value","USD","1032.7","A","Official figure"
