Area,Year,Food Inflation Rate,Raw GDP,GDP Growth Rate,Overall Inflation Rate,Import Rate,Export Rate,Unemployment Rate
Albania,2012,2.4040868333333334,12319.779604,-4.430218,3.2,-6.93066930769312,0.293588275390633,13.376
Albania,2013,4.214607333333333,12776.280738,3.705432,3.2,-0.643629067879417,1.58899617671256,15.866
Albania,2014,2.2123846666666664,13228.240079,3.537487,3.2,4.7541405233849,-0.169636687451657,18.055
Albania,2015,4.294233333333334,11386.924853,-13.919579,3.2,-2.67446562002903,-2.25254023391722,17.193
Albania,2016,3.25461975,11861.356451,4.166459,3.2,5.97324842433984,7.57276906101264,15.418
Albania,2017,3.9245775,13019.729856,9.765943,3.2,6.62013997660738,12.9646313708102,13.616
Albania,2018,2.6909453333333335,15156.439968,16.411324,1.8,1.72526221131521,4.46629089537305,12.304
Albania,2019,2.91183975,15401.82608,1.619022,1.7,2.53606908290658,2.4800752980137,11.466
Albania,2020,3.6128725833333335,15162.734468,-1.552359,2.2,-19.7899334355707,-27.7255430085865,11.69
Albania,2021,3.894848166666667,17930.56704,18.254178,2.3,32.4588060321158,52.0973691827291,11.474
Albania,2022,11.792337000000002,18916.380686,5.49795,6.6,11.5172392295421,17.0424879813874,10.137
Austria,2012,3.2225968333333337,409425.234155,-5.032256,2.6,0.923404026186518,1.43769207737525,4.909
Austria,2013,3.466696,430068.712972,5.042063,2.1,0.768765084215289,0.632692932188903,5.367
Austria,2014,1.9644887500000001,441996.131737,2.773375,1.5,2.99765654470707,2.85529731190945,5.674
Austria,2015,0.8260683333333333,381817.565894,-13.61518,0.8,3.63868801137232,3.02656748041241,5.802
Austria,2016,0.7340299166666666,395568.644341,3.601478,1.0,3.72775163767881,2.99287644635618,6.064
Austria,2017,2.366326416666667,417261.151845,5.483879,2.2,5.25840789125702,4.89955416614674,5.561
Austria,2018,1.5220933333333333,454991.174096,9.042304,2.1,5.10451385784107,5.15093378840152,4.933
Austria,2019,1.0197364166666667,444596.155845,-2.284664,1.5,2.35191569230773,4.03526794580915,4.56
Austria,2020,2.3315414999999997,435049.316956,-2.147306,1.4,-9.57386945682744,-10.4888890358844,5.201
Austria,2021,0.7824158333333333,479295.362747,10.170351,2.8,14.1153845064741,9.47670498999696,6.459
Austria,2022,10.719310333333333,470302.170937,-1.876337,8.6,7.08262455787722,9.99652382384733,4.992
Belgium,2012,3.10063175,496181.260258,-5.06352,2.6,-0.6253670306901,-0.668885526584745,7.542
Belgium,2013,3.4286677500000002,521642.714408,5.131482,1.2,-0.0369507924655181,0.280390334328473,8.425
Belgium,2014,-0.37286925,534678.075827,2.498906,0.5,5.42120707197311,5.31972100241968,8.523
Belgium,2015,1.209594,462149.679344,-13.564872,0.6,4.20073153503466,3.66974900432082,8.482
Belgium,2016,2.240766333333333,475739.588765,2.940586,1.8,7.77331042812423,6.14455725776403,7.83
Belgium,2017,1.2666983333333333,502764.720556,5.680656,2.2,5.36361461846684,5.51627729650733,7.09
Belgium,2018,2.1607999166666665,543299.066999,8.062289,2.3,2.33814858308395,1.54494881975641,5.941
Belgium,2019,0.7756653333333333,535865.80435,-1.368172,1.2,1.48581236502936,2.93656163408345,5.364
Belgium,2020,2.880569916666667,526264.230147,-1.791788,0.4,-6.72429398728684,-5.95786444713187,5.545
Belgium,2021,-0.38584941666666667,600748.812602,14.153457,3.2,12.8314438847927,14.6518070051912,6.248
Belgium,2022,8.79276675,582643.021606,-3.013871,10.3,5.84066528826897,5.78284200387186,5.57
Bulgaria,2012,3.02150825,54297.033606,-5.867129,2.4,5.37869718583408,2.03776462030444,12.27
Bulgaria,2013,2.8247664166666664,55819.259393,2.803515,0.4,4.33579791466792,9.63201421539324,12.941
Bulgaria,2014,-0.9733680833333332,57080.892245,2.26021,-1.6,5.18315612939553,3.05218606097948,11.424
Bulgaria,2015,0.3246463333333333,50765.926094,-11.063188,-1.1,4.73073136458066,6.47889881890009,9.143
Bulgaria,2016,-0.2195819166666667,53929.385148,6.231461,-1.3,5.02763230704572,8.61262016270479,7.575
Bulgaria,2017,3.989343,59167.655038,9.713201,1.2,7.30199464249353,5.74319723518823,6.164
Bulgaria,2018,2.1992505,66332.429782,12.109276,2.6,5.60439492241305,1.73336747506367,5.211
Bulgaria,2019,5.188106333333333,68883.302726,3.845589,2.5,5.37305620025575,3.99597901745277,4.23
Bulgaria,2020,5.38517075,70203.379297,1.916395,1.2,-4.21204119817645,-9.60900673715274,5.125
Bulgaria,2021,2.793370916666666,84037.671388,19.70602,2.8,10.6929669120834,11.5748627772022,5.267
Bulgaria,2022,21.900394083333335,90213.02141,7.348311,13.0,15.3433920115477,12.065399691161,4.268
Croatia,2012,3.7075418333333334,57492.708224,-9.526612,3.4,-2.3625043152862,-1.50461022286676,15.935
Croatia,2013,3.739474166666666,59159.283962,2.89876,2.3,3.28496605452722,2.60339522574593,17.251
Croatia,2014,-2.1851992499999997,58550.214852,-1.029542,0.2,3.43214771080164,7.27471663736394,17.29
Croatia,2015,0.3950673333333334,50356.970147,-13.993535,-0.3,9.27391296120474,10.2408990154512,16.175
Croatia,2016,-0.46884891666666667,52519.504076,4.294408,-0.6,6.50811297970533,7.04903687184219,13.103
Croatia,2017,2.9142507500000003,56448.881388,7.481748,1.3,8.4905788696604,6.94867396592784,11.208
Croatia,2018,0.9930450833333334,62470.101414,10.666677,1.6,7.42147642724495,3.60014261238742,8.432
Croatia,2019,-0.11659333333333333,62471.358758,0.002012,0.8,6.68008678614342,6.84303169624086,6.617
Croatia,2020,1.93326475,57606.772554,-7.786907,0.0,-12.3179246368806,-23.1939812210157,7.507
Croatia,2021,1.64549725,69193.052601,20.112704,2.7,17.2691376138095,32.734341013324,7.608
Croatia,2022,15.817972916666667,71552.026308,3.409263,10.7,26.4978250114215,26.9918599744603,6.96
Czechia,2012,6.9232959166666665,208857.719321,-9.019328,3.5,2.63772354665626,4.28116143497319,6.979
Czechia,2013,4.914723416666667,211685.616593,1.353982,1.4,0.062551226541089,0.25860507770507,6.953
Czechia,2014,2.03226275,209358.834156,-1.099169,0.4,10.0188834324278,8.72634203120278,6.108
Czechia,2015,-1.1038042499999998,188033.05046,-10.186236,0.3,6.56280589876445,5.91173316859567,5.048
Czechia,2016,-0.9148445000000001,196272.068576,4.381686,0.6,2.5679846897557,4.13744263673649,3.952
Czechia,2017,5.18512975,218628.940952,11.390755,2.4,6.03115610140318,7.10275452803137,2.893
Czechia,2018,1.3266573333333331,249000.540729,13.891847,2.0,5.51187709821215,3.50177596746688,2.246
Czechia,2019,2.8261655833333332,252548.179965,1.424751,2.6,1.29090667771582,1.31157012923498,2.015
Czechia,2020,4.55661175,245974.558654,-2.602918,3.3,-8.44583001350243,-8.51612580418225,2.55
Czechia,2021,0.8181943333333334,281791.218507,14.561123,3.3,13.6839755168698,8.15308945199496,2.803
Czechia,2022,16.694992583333335,290527.550627,3.100285,14.8,5.94813441086541,5.14899737013197,2.224
Denmark,2012,4.304187083333333,327148.943812,-4.899431,2.4,2.85043087797345,1.25947058668956,7.798
