Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Albania,ALB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,0.293588275390633,1.58899617671256,-0.169636687451657,-2.25254023391722,7.57276906101264,12.9646313708102,4.46629089537305,2.4800752980137,-27.7255430085865,52.0973691827291,17.0424879813874
Albania,ALB,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-6.93066930769312,-0.643629067879417,4.7541405233849,-2.67446562002903,5.97324842433984,6.62013997660738,1.72526221131521,2.53606908290658,-19.7899334355707,32.4588060321158,11.5172392295421
Montenegro,MNE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,-0.340236786717881,-1.33935525239282,-0.715364706477445,5.74300149368369,5.94209743673227,1.79355604233864,6.89476605653634,5.80051737185232,-47.6437587573837,81.8606363313148,22.6855125896171
Montenegro,MNE,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,0.640149480037394,-3.11745718445999,1.56655404507194,4.39389141049536,15.3182737607664,8.42735648385606,9.23757742054845,2.71939167987456,-20.0778957903752,13.6915280129719,21.3398337134778
Spain,ESP,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,0.945520064761965,4.28952873736196,4.50592147043234,4.35144592760304,5.39246093751531,5.60718128988957,1.6613813302077,2.26451561405403,-20.0990304403761,13.3880504131367,14.3132039090971
Spain,ESP,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-5.8645777863204,-0.278827518568974,6.80287864445921,5.09169194022346,2.64574473811703,6.69574312493262,3.88842619772538,1.31842136389324,-15.1484806898574,14.9811359981411,7.74334047724143
Greece,GRC,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2.03929646800631,1.75550215260746,8.27884136993387,5.23373515048466,-0.395022732358598,8.40511214669321,9.23379089398541,4.84015271814187,-21.5180563035904,24.3717867213665,6.60696826090881
Greece,GRC,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-5.49236178796176,-3.6096614448399,6.83721788485747,8.17709731649438,2.12984327298943,7.14852252265689,8.25082755237932,2.81981971742395,-7.29548958850907,17.3732178167258,10.9643889159095
Portugal,PRT,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,3.08840494019637,7.25966935075878,4.30353808531238,6.25225147303532,4.71166935649117,8.39056022440997,4.29682054211177,4.0044109420303,-18.3346612609226,12.0345448786013,17.1528640579488
Portugal,PRT,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-6.29752704033599,4.70732336760085,8.00804758034728,8.06564197719852,5.22051394241811,8.02852752931071,4.90679126094457,5.06293893279874,-11.5903765681704,12.2588437563185,11.2655646364884
Switzerland,CHE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,0.688026054823027,14.1719610588468,-5.03425096171786,4.02377704558216,5.97768299554156,-0.37695249336042,3.37286431778006,-0.678189133502485,-5.24019229102475,13.7453769457978,6.10381113426672
Switzerland,CHE,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-2.10733954909182,12.2687060505169,-6.76375356746919,4.95156375676274,5.28586085977294,-0.387211786395937,0.750562833223285,0.278380730598627,-3.18014901940647,5.83274479344904,5.78823386594622
Hungary,HUN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,-1.70149658356102,4.07872345018477,9.20207756769568,7.36277208359573,3.80221970077218,6.47972932756515,4.9904927550598,5.45703985365169,-6.14189449546757,8.27219282441023,10.659838450726
Hungary,HUN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-3.09276430281329,4.15211875681098,10.8882845969406,5.6712098098135,3.44619905586461,8.41891185869261,6.98382483900382,8.1863588375347,-3.88595315730865,7.36365749362773,10.7215687066166
Germany,DEU,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2.58093758762068,0.474508250694839,4.3492590859109,4.87317089783468,1.98715432273599,4.10352294453935,2.48605696713213,1.90001825513049,-9.48587965172655,9.97999982237855,3.05510114771334
Germany,DEU,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-0.404810422889042,1.76927679477679,3.46528849221907,5.33605872109813,3.74003021914098,4.04155772902564,4.99300979826427,3.50960675270022,-8.11357187149889,8.98000003428174,6.99210845284691
Croatia,HRV,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,-1.50461022286676,2.60339522574593,7.27471663736394,10.2408990154512,7.04903687184219,6.94867396592784,3.60014261238742,6.84303169624086,-23.1939812210157,32.734341013324,26.9918599744603
Croatia,HRV,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-2.3625043152862,3.28496605452722,3.43214771080164,9.27391296120474,6.50811297970533,8.4905788696604,7.42147642724495,6.68008678614342,-12.3179246368806,17.2691376138095,26.4978250114215
Austria,AUT,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,1.43769207737525,0.632692932188903,2.85529731190945,3.02656748041241,2.99287644635618,4.89955416614674,5.15093378840152,4.03526794580915,-10.4888890358844,9.47670498999696,9.99652382384733
Austria,AUT,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,0.923404026186518,0.768765084215289,2.99765654470707,3.63868801137232,3.72775163767881,5.25840789125702,5.10451385784107,2.35191569230773,-9.57386945682744,14.1153845064741,7.08262455787722
Bulgaria,BGR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2.03776462030444,9.63201421539324,3.05218606097948,6.47889881890009,8.61262016270479,5.74319723518823,1.73336747506367,3.99597901745277,-9.60900673715274,11.5748627772022,12.065399691161
Bulgaria,BGR,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,5.37869718583408,4.33579791466792,5.18315612939553,4.73073136458066,5.02763230704572,7.30199464249353,5.60439492241305,5.37305620025575,-4.21204119817645,10.6929669120834,15.3433920115477
Latvia,LVA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,9.48502020935815,0.659294478650494,6.56065275841704,3.05524396623076,3.89264631963555,6.4554249972423,4.36305693258801,-0.57016848392081,-0.297624800226373,9.09254440454899,11.4199534118506
Latvia,LVA,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,5.21857465687611,-0.127348967668667,2.99891912028245,1.01335763139392,4.1897021509927,8.56351532525717,6.32887040044814,2.0274606037332,-1.12277830433685,15.1399510079673,9.91278558676876
Romania,ROU,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,1.05999399689563,20.7343029575759,8.53596873996945,4.58319464846741,16.3395931219297,7.76517853120917,5.26212664755774,5.35902643629188,-9.46088929807445,12.637277816564,9.30711906794066
Romania,ROU,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-1.97846837404838,8.83548317171459,8.83963104933245,8.50784341825317,16.5883171432659,11.4669107497888,8.85958191966729,8.81182899943266,-5.20694216717411,14.5659265711967,9.25137663652202
Poland,POL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,3.92000537548776,5.06049835860387,5.49759785345422,6.6086974119078,8.95924632654497,9.09199036434809,6.75736767424607,5.33745531975404,-1.07566234288548,12.303167738778,7.40565016437485
Poland,POL,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-0.908426835635836,1.76081307545255,9.20230503500005,5.60191594770745,7.7346596388975,9.83566558175093,7.54779393336335,3.22144361426456,-2.46062076663621,16.3104697885027,6.79996839006334
Slovakia,SVK,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,9.21016484852932,5.3815272876617,3.30124279627275,6.75241976116079,4.9024797473985,3.64169143263635,5.47642478511412,1.35655513267361,-6.35535306900033,10.6610735067332,2.76942437041711
Slovakia,SVK,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2.21044615922735,5.02287193258708,4.08328014716646,9.13855650317319,4.64697567836232,3.7914460868196,5.02753523017336,2.35670289876391,-7.90314968484945,11.6503915753348,4.16034463266072
Czechia,CZE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,4.28116143497319,0.25860507770507,8.72634203120278,5.91173316859567,4.13744263673649,7.10275452803137,3.50177596746688,1.31157012923498,-8.51612580418225,8.15308945199496,5.14899737013197
Czechia,CZE,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2.63772354665626,0.062551226541089,10.0188834324278,6.56280589876445,2.5679846897557,6.03115610140318,5.51187709821215,1.29090667771582,-8.44583001350243,13.6839755168698,5.94813441086541
Norway,NOR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2.05611302536974,-1.65125021493293,3.83392755311756,3.92621459776939,0.387751620448242,1.59550425093187,-1.53739843448682,2.11568385913834,-2.32867094738384,6.09120517316377,5.24944874846942
Norway,NOR,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2.93470566329385,5.04321297933193,2.17953018615837,1.88282120794774,1.93256527346435,1.84083128790635,1.39032445093763,5.33611682029753,-9.85472404085171,1.82329555161196,13.2593200298887
France,FRA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2.64023274027012,2.60217335706534,2.74335225556877,4.52537693872637,2.11205110339992,4.40647253917609,3.76728351267852,2.07844648104829,-16.5720107719702,11.3257253805046,8.22625735466116
France,FRA,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,0.330961831986826,2.74594428645294,4.26436616934076,5.81940816310831,3.80056393340557,4.45376285349295,3.16058294939539,1.93612581644666,-12.2379249320294,8.26365391965132,8.80768859323764
Slovenia,SVN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,0.746699874372567,2.79564702877457,5.83055857684327,5.43043168283323,6.43041164410103,11.0703767176082,6.15538029466998,4.48061530743493,-8.53073565492291,14.4759998032978,6.76580973455722
Slovenia,SVN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-3.17470486314994,1.77105719354253,3.96613982387358,5.27285170580167,6.62698109507616,10.6717196898689,7.08674598583599,4.66894458850587,-9.1173783805495,17.7863790982785,9.18540425107368
Belgium,BEL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,-0.668885526584745,0.280390334328473,5.31972100241968,3.66974900432082,6.14455725776403,5.51627729650733,1.54494881975641,2.93656163408345,-5.95786444713187,14.6518070051912,5.78284200387186
Belgium,BEL,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-0.6253670306901,-0.0369507924655181,5.42120707197311,4.20073153503466,7.77331042812423,5.36361461846684,2.33814858308395,1.48581236502936,-6.72429398728684,12.8314438847927,5.84066528826897
Lithuania,LTU,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,10.8475302526645,7.26975657268045,-1.82267322645454,2.42251174032285,4.92767799771097,13.531160616336,6.84003514227605,10.0413862143742,0.0680541736618068,16.5849057692038,12.3878747843508
Lithuania,LTU,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,5.16969908577607,5.81138755134216,-1.81078812697501,9.50237550619582,4.04429160546367,11.1969007462446,5.94008948228493,6.09650116866507,-4.33683181558622,19.1743341936537,12.7018143973721
Serbia,SRB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2.8574665998822,18.0402686253208,4.26740407068064,9.04236504259555,10.8855972050591,7.8637676636572,9.04312531210374,7.25188317026613,-4.5852598634585,20.4275168698308,17.0313592368997
Serbia,SRB,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,1.47023637873318,7.17574190319161,5.05989343628681,6.84984819925785,6.36922681291014,10.2879411302045,11.1080791682506,9.84665607878472,-3.97582471688386,17.6747705567845,16.1509483444826
North Macedonia,MKD,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,1.95193522026595,6.09405835382699,16.4794157542596,8.47558398930785,9.08123190933263,8.34679478927458,12.8051327847427,8.87670264778933,-10.9319169784707,14.278456708804,10.6003329562282
North Macedonia,MKD,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,8.23907750264161,2.16804468514967,14.1467812157267,9.94522592033191,11.1261176268078,5.23827680502352,10.7331999196121,10.0826674437509,-10.8612562405666,14.796444685263,13.6002414472311
Denmark,DNK,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,1.25947058668956,1.38962440104031,3.01928719656838,3.23225705275851,3.66175325182229,4.80574466596913,3.4041158338494,4.41706305963147,-6.35977223572377,8.81452960621105,7.1903033952218
Denmark,DNK,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2.85043087797345,1.45831773589096,4.06759757429846,4.06298434306973,4.28601244180572,4.32235693752574,5.70522923058164,3.05333835154407,-3.9537429824868,9.49292153995545,4.38079765289056
Malta,MLT,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,7.52639124201747,2.36349312162901,6.09200165768753,24.0401785714286,8.06820226741047,15.9924067706295,13.1902523059254,7.19254745039348,6.01497682539207,-0.406703704840353,13.7225945125806
Malta,MLT,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,8.12356171732715,-2.54488476855781,2.12497990245994,32.0406181942221,6.71177616151981,9.16209648134527,16.390450276785,10.5565937488549,7.79384339280725,-2.8201435520164,18.3733118914449
Luxembourg,LUX,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,1.6189231562564,6.31616890295092,6.51614129619563,5.13941193664402,5.30880657555389,-0.226858160991469,3.52805836112509,6.03821535500512,1.9021400020742,11.341861233142,1.47130245607248
Luxembourg,LUX,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,1.76035951765104,6.22942450501476,8.23616635309263,5.70765023577965,3.75199298336153,0.753525836578021,3.45757650972966,7.44641865988238,1.44929106581479,13.3940379009418,2.40551172581812
Estonia,EST,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,4.82627134978398,2.80031737998212,2.6404130832827,-1.50582805716188,4.82569266228093,4.83204575814213,2.89587457613816,5.03448669825302,-4.11714011609945,22.1251817128583,5.0417914329018
Estonia,EST,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,9.68814978625896,2.44597762348933,2.61313082954931,-2.13805858880407,6.05835127684607,3.52012739350482,6.4857975236708,3.67238844834536,0.839436477169912,22.7206993495181,5.04204797513201
Finland,FIN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,0.236262140778749,1.16263748252392,-1.79197898946147,0.243911559216727,4.18694355804092,9.02768014618975,1.71362375232719,6.8471872293691,-8.50108268445891,5.98323832441652,4.43262224716906
Finland,FIN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,1.12529211615441,0.127934606793616,-0.899725026291421,2.1354320877094,5.65826748606109,4.33597638941295,5.83169345410212,2.37477945214759,-6.12015670422691,6.99526279269426,9.25830464274917
Sweden,SWE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,0.708045798045973,-0.126886806256877,3.91869590576997,5.10649617347956,3.21720322995867,3.2496742577564,4.44469036636244,6.90374923205022,-5.46912120834438,11.9327790082447,6.18662717259599
